id,category,title,definition,type,units,source,changes,notes
AnnualMeanTemperature,Climate,Mean value of monthly temperature across the year,Mean value of monthly temperature across the year,Continuous,°C,"Baseline Historical (1900-1949), CCSM ecoClimate model",,
AnnualTemperatureVariance,Climate,Variance in monthly temperature means,Variance in monthly temperature means,Continuous,,"Baseline Historical (1900-1949), CCSM ecoClimate model",,
MonthlyMeanPrecipitation,Climate,Mean monthly precipitation in ml/m2/month,Mean monthly precipitation in ml/m2/month,Continuous,ml/m²/month,"Baseline Historical (1900-1949), CCSM ecoClimate model",,
PrecipitationConstancy,Climate,Precipitation constancy,Colwell's (1974) information theoretic index. Indicates the extent to which a climate patterns are predictable because conditions are constant. Varies between 0 (completely unpredictable) and 1 (fully predictable).,Continuous,,"Baseline Historical (1900-1949), CCSM ecoClimate model",,
PrecipitationContingency,Climate,Precipitation contingency,Colwell's (1974) information theoretic index. Indicates the extent to which a climate patterns are predictable because conditions oscillate in a very predictable manner.  Varies between 0 (completely unpredictable) and 1 (fully predictable).,Continuous,,"Baseline Historical (1900-1949), CCSM ecoClimate model",,
PrecipitationPredictability,Climate,Precipitation predictability,Colwell's (1974) information theoretic index. Indicates the extent to which a climate patterns are predictable due to either constancy or contingency.  Varies between 0 (completely unpredictable) and 1 (fully predictable).,Continuous,,"Baseline Historical (1900-1949), CCSM ecoClimate model",,
TemperatureConstancy,Climate,Temperature constancy,Colwell's (1974) information theoretic index. Indicates the extent to which a climate patterns are predictable because conditions are constant. Varies between 0 (completely unpredictable) and 1 (fully predictable).,Continuous,,"Baseline Historical (1900-1949), CCSM ecoClimate model",,
TemperatureContingency,Climate,Temperature contingency,Colwell's (1974) information theoretic index. Indicates the extent to which climate patterns are predictable because conditions oscillate in a very predictable manner.  Varies between 0 (completely unpredictable) and 1 (fully predictable).,Continuous,,"Baseline Historical (1900-1949), CCSM ecoClimate model",,
TemperaturePredictability,Climate,Temperature predictability,Colwell's (1974) information theoretic index. Indicates the extent to which a climate patterns are predictable due to either constancy or contingency.  Varies between 0 (completely unpredictable) and 1 (fully predictable).,Continuous,,"Baseline Historical (1900-1949), CCSM ecoClimate model",,
AnnualPrecipitationVariance,Climate,Variance in monthly precipitation means,Variance in monthly precipitation means,Continuous,,"Baseline Historical (1900-1949), CCSM ecoClimate model",,
